"pattern","substitute"
"[?]","Other"
"APACHE COUNTY","Other"
"Marine Accident","Other"
"MARINE MISHAP","Other"
"DROWNING","Other"
"Other","Other"
"Avalan","Avalanche"
"Astronomical","Astronomical Tide"
"Tidal \w","Astronomical Tide"
"Dust Devil","Dust Devil"
"DUST STORM","Dust Storm"
"BLOWING DUST","Dust Storm"
"FREEZING FOG","Freezing Fog"
"Freezing Spray","Freezing Fog"
"DENSE FOG","Dense Fog"
"FOG","Dense Fog"
"DENSE SMOKE","Dense Smoke"
"DROUGHT","Drought"
"FUNNEL CLOUD","Funnel Cloud"
"SEICHE","Seiche"
"SLEET","Sleet"
"RIP CURRENT","Rip Current"
"MARINE \w WIND","Marine Wind"
"HEAT","Heat"
"UNSEASONABLY WARM","Heat"
"WARM WEATHER","Heat"
"MUD[ ]?SLIDE","Debris Flow"
"LANDS","Debris Flow"
"ROCK SLIDE","Debris Flow"
"VOLCANIC ASH","Volcanic Ash"
"TSUNAMI","Tsunami"
"WINTER STORM","Winter Storm"
"WINTER WEATHER","Winter Weather"
"WINTRY MIX","Winter Weather"
"WATERSPOUT","Waterspout"
"TORNADO","Tornado"
"TORNDAO","Tornado"
"TROPICAL DEPRESSION","Tropical Depression"
"TROPICAL STORM","Tropical Storm"
"HURRICANE","Hurricane/Typhoon"
"TYPHOON","Hurricane/Typhoon"
"STORM SURGE","Storm Surge/Tide"
"HIGH TIDES","Storm Surge/Tide"
"LAKE.+SNOW","Lake-Effect Snow"
"LAKE.+FLOOD","Lakeshore Flood"
"FROST","Frost/Freeze"
"FREEZE","Frost/Freeze"
"HEAVY SURF","High Surf"
"HIGH SURF ADVISORY","High Surf"
"^\s?HIGH SURF","High Surf"
"ROUGH SURF","High Surf"
"HEAVY SWELLS","High Surf"
"HIGH SEAS","High Surf"
"HIGH SWELLS","High Surf"
"HIGH WAVES","High Surf"
"HEAVY SEAS","High Surf"
"ROUGH SEAS","High Surf"
"ROGUE WAVE","High Surf"
"HAZARDOUS SURF","High Surf"
"HEAVY RAIN/LIGHTNING","Heavy Rain"
"TSTM WIND.+LIGHTNING","Thunderstorm Wind"
"THUNDERSTORM WIND.+LIGHTNING","Thunderstorm Wind"
"LIGHTNING","Lightning"
"LIGNTNING","Lightning"
"LIGHTING","Lightning"
"FIRE","Wildfire"
"FLOOD.+HEAVY RAIN","Flood"
"HIGH WIND.+HEAVY RAIN","High Wind"
"HEAVY.+FLOOD","Heavy Rain"
"RAINSTORM","Heavy Rain"
"RECORD RAINFALL","Heavy Rain"
"HVY RAIN","Heavy Rain"
"UNSEASONAL RAIN","Heavy Rain"
"EXCESSIVE WETNESS","Heavy Rain"
"HEAVY SHOWER","Heavy Rain"
"HEAVY MIX","Heavy Rain"
"HEAVY PRECIPITATION","Heavy Rain"
"FLASH FLOOD","Flash Flood"
"FLOOD[ /]FLASH","Flash Flood"
"DAM BREAK","Flash Flood"
"BREAKUP FLOODING","Flash Flood"
"RAPIDLY RISING WATER","Flash Flood"
"HIGH WINDS/SNOW","High Wind"
"ICE AND SNOW","Ice Storm"
"^FREEZING RAIN","Cold and Chill"
"LIGHT FREEZING RAIN","Cold and Chill"
"SNOWMELT FLOODING","Flood"
"HEAVY SNOW","Snow and Blizzard"
"SNOW","Snow and Blizzard"
"MIXED PRECIPITATION","Snow and Blizzard"
"MIXED PRECIP","Snow and Blizzard"
"BLIZZARD","Snow and Blizzard"
"HIGH[ ]+WIND","High Wind"
"FREEZING DRIZZLE","Cold and Chill"
"COLD","Cold and Chill"
"COOL AND WET","Cold and Chill"
"EXTREME WINDCHILL","Cold and Chill"
"EXTREME WIND CHILL","Cold and Chill"
"LOW TEMPERATURE","Cold and Chill"
"HYPERTHERMIA/EXPOSURE","Cold and Chill"
"TSTM WIND/HAIL","Thunderstorm Wind"
"THUNDERSTORM.+HAIL","Thunderstorm Wind"
"WIND/HAIL","Strong Wind"
"HAIL","Hail"
"COASTAL","Coastal Flood"
"Erosion/Cstl Flood","Coastal Flood"
"Beach Erosion","Coastal Flood"
"ICE","Ice Storm"
"ICY ROADS","Ice Storm"
"GLAZE","Ice Storm"
"THUNDERSTORM WIND.+FLOOD","Thunderstorm Wind"
"FLOOD","Flood"
"HIGH WATER","Flood"
"URBAN","Flood"
"NON-TSTM WIND","Strong Wind"
"NON-SEVERE WIND DAMAGE","Strong Wind"
"TSTM WIND","Thunderstorm Wind"
"TSTMW","Thunderstorm Wind"
"BURST","Thunderstorm Wind"
"THUNDERSTORM","Thunderstorm Wind"
"THUDERSTORM","Thunderstorm Wind"
"THUNDEERSTORM","Thunderstorm Wind"
"THUNDERESTORM","Thunderstorm Wind"
"THUNDERSTROM","Thunderstorm Wind"
"THUNDERTORM","Thunderstorm Wind"
"THUNERSTORM","Thunderstorm Wind"
"TUNDERSTORM","Thunderstorm Wind"
"SEVERE TURBULENCE","Thunderstorm Wind"
"GUSTNADO","Thunderstorm Wind"
"WHIRLWIND","Thunderstorm Wind"
"STORM FORCE WINDS","Thunderstorm Wind"
"WIND","Strong Wind"
"RAIN","Heavy Rain"
"HIGH","Other"
